participant,category,product
75,bread,Sourdough
75,cheese,Gouda
75,cheese,Mozzarella
75,salad,Cobb
75,salad,Greek
75,salad,Caprese
76,bread,Sourdough
76,bread,Baguette
76,cheese,Camembert
76,salad,Caesar
76,salad,Waldorf
77,bread,Rye
77,bread,Sourdough
77,bread,Focaccia
77,cheese,Cheddar
77,cheese,Camembert
77,cheese,Gouda
77,salad,Caprese
77,salad,Greek
77,salad,Caesar
78,bread,Baguette
78,bread,Sourdough
78,bread,Focaccia
78,cheese,Camembert
78,cheese,Parmesan
78,cheese,Gouda
78,salad,Caesar
78,salad,Greek
79,bread,Baguette
79,bread,Sourdough
79,bread,Rye
79,cheese,Camembert
79,cheese,Cheddar
79,salad,Caprese
80,bread,Rye
80,cheese,Mozzarella
80,cheese,Camembert
80,salad,Greek
80,salad,Caesar
81,bread,Baguette
81,bread,Sourdough
81,bread,Rye
81,cheese,Gouda
81,salad,Caprese
81,salad,Greek
82,bread,Focaccia
82,bread,Rye
82,cheese,Brie
82,cheese,Parmesan
82,cheese,Camembert
82,salad,Cobb
82,salad,Caesar
82,salad,Caprese
83,bread,Baguette
83,bread,Focaccia
83,cheese,Camembert
83,cheese,Gouda
83,salad,Greek
83,salad,Caprese
84,bread,Baguette
84,bread,Pumpernickel
84,cheese,Cheddar
84,cheese,Gouda
84,salad,Caprese
84,salad,Caesar
84,salad,Cobb
85,bread,Sourdough
85,bread,Baguette
85,bread,Rye
85,cheese,Parmesan
85,cheese,Cheddar
85,cheese,Mozzarella
85,salad,Caesar
85,salad,Wedge
86,bread,Sourdough
86,bread,Focaccia
86,bread,Baguette
86,cheese,Gouda
86,cheese,Mozzarella
86,salad,Greek
86,salad,Waldorf
86,salad,Caesar
87,bread,Baguette
87,bread,Rye
87,bread,Sourdough
87,cheese,Gouda
87,cheese,Camembert
87,salad,Greek
87,salad,Caesar
87,salad,Wedge
88,bread,Baguette
88,bread,Focaccia
88,cheese,Gouda
88,cheese,Cheddar
88,salad,Caesar
88,salad,Caprese
88,salad,Greek
89,bread,Baguette
89,bread,Rye
89,cheese,Camembert
89,salad,Wedge
89,salad,Waldorf
89,salad,Caesar
90,bread,Baguette
90,bread,Focaccia
90,bread,Sourdough
90,cheese,Cheddar
90,salad,Greek
91,bread,Baguette
91,bread,Sourdough
91,cheese,Brie
91,cheese,Parmesan
91,salad,Caprese
91,salad,Caesar
91,salad,Greek
92,bread,Baguette
92,cheese,Gouda
92,cheese,Camembert
92,salad,Caprese
92,salad,Caesar
92,salad,Waldorf
93,bread,Baguette
93,cheese,Camembert
93,cheese,Parmesan
93,cheese,Gouda
93,salad,Waldorf
93,salad,Greek
93,salad,Caprese
94,bread,Baguette
94,bread,Sourdough
94,cheese,Camembert
94,cheese,Gouda
94,salad,Greek
94,salad,Caprese
94,salad,Caesar
95,bread,Rye
95,bread,Baguette
95,cheese,Mozzarella
95,cheese,Gouda
95,salad,Greek
95,salad,Caesar
96,bread,Rye
96,bread,Baguette
96,bread,Sourdough
96,cheese,Parmesan
96,salad,Greek
96,salad,Caprese
96,salad,Caesar
97,bread,Baguette
97,bread,Rye
97,cheese,Cheddar
97,salad,Caesar
97,salad,Greek
97,salad,Caprese
98,bread,Sourdough
98,bread,Rye
98,cheese,Cheddar
98,cheese,Camembert
98,salad,Caesar
98,salad,Caprese
99,bread,Baguette
99,bread,Sourdough
99,cheese,Camembert
99,cheese,Parmesan
99,cheese,Brie
99,salad,Wedge
99,salad,Caesar
100,bread,Baguette
100,cheese,Gouda
100,salad,Waldorf
100,salad,Caesar
100,salad,Greek
101,bread,Sourdough
101,bread,Rye
101,bread,Focaccia
101,cheese,Camembert
101,cheese,Mozzarella
101,salad,Waldorf
101,salad,Caprese
102,bread,Baguette
102,cheese,Mozzarella
102,salad,Greek
103,bread,Focaccia
103,bread,Rye
103,cheese,Brie
103,cheese,Mozzarella
103,cheese,Gouda
103,salad,Greek
104,bread,Rye
104,bread,Focaccia
104,cheese,Camembert
104,cheese,Parmesan
104,cheese,Cheddar
104,salad,Waldorf
104,salad,Greek
104,salad,Wedge
105,bread,Baguette
105,cheese,Camembert
105,cheese,Cheddar
105,salad,Caprese
105,salad,Caesar
106,bread,Rye
106,bread,Sourdough
106,cheese,Parmesan
106,salad,Caesar
106,salad,Wedge
106,salad,Caprese
107,bread,Baguette
107,cheese,Cheddar
107,salad,Caprese
107,salad,Caesar
108,bread,Sourdough
108,cheese,Camembert
108,salad,Greek
108,salad,Caesar
109,bread,Sourdough
109,bread,Focaccia
109,cheese,Cheddar
109,cheese,Camembert
109,cheese,Mozzarella
109,salad,Greek
109,salad,Caprese
110,bread,Baguette
110,cheese,Brie
110,cheese,Camembert
110,salad,Wedge
110,salad,Cobb
111,bread,Rye
111,bread,Sourdough
111,bread,Baguette
111,cheese,Gouda
111,cheese,Camembert
111,salad,Caesar
112,bread,Baguette
112,bread,Focaccia
112,bread,Rye
112,cheese,Parmesan
112,cheese,Cheddar
112,salad,Greek
113,bread,Baguette
113,cheese,Gouda
113,salad,Caesar
113,salad,Greek
114,bread,Sourdough
114,bread,Baguette
114,cheese,Cheddar
114,cheese,Mozzarella
114,cheese,Camembert
114,salad,Caprese
115,bread,Baguette
115,bread,Rye
115,cheese,Cheddar
115,cheese,Gouda
115,salad,Caesar
115,salad,Wedge
115,salad,Greek
116,bread,Rye
116,bread,Baguette
116,cheese,Mozzarella
116,cheese,Cheddar
116,salad,Caesar
116,salad,Caprese
117,bread,Baguette
117,bread,Focaccia
117,cheese,Brie
117,cheese,Camembert
117,salad,Greek
117,salad,Waldorf
117,salad,Wedge
118,bread,Sourdough
118,bread,Baguette
118,cheese,Gouda
118,cheese,Camembert
118,salad,Greek
118,salad,Caesar
119,bread,Baguette
119,bread,Rye
119,cheese,Brie
119,salad,Caprese
119,salad,Greek
120,bread,Rye
120,bread,Baguette
120,bread,Sourdough
120,cheese,Gouda
120,cheese,Cheddar
120,salad,Greek
120,salad,Cobb
121,bread,Baguette
121,bread,Sourdough
121,cheese,Camembert
121,salad,Waldorf
122,bread,Baguette
122,bread,Sourdough
122,bread,Rye
122,cheese,Cheddar
122,cheese,Camembert
122,salad,Caesar
123,bread,Baguette
123,bread,Rye
123,cheese,Parmesan
123,cheese,Cheddar
123,cheese,Brie
123,salad,Greek
123,salad,Caesar
123,salad,Wedge
124,bread,Baguette
124,bread,Rye
124,bread,Sourdough
124,cheese,Cheddar
124,cheese,Gouda
124,salad,Caesar
124,salad,Caprese
124,salad,Greek
125,bread,Focaccia
125,cheese,Cheddar
125,salad,Caprese
125,salad,Caesar
126,bread,Baguette
126,bread,Rye
126,cheese,Parmesan
126,cheese,Camembert
126,salad,Cobb
126,salad,Caprese
126,salad,Caesar
127,bread,Sourdough
127,bread,Focaccia
127,cheese,Camembert
127,cheese,Cheddar
127,salad,Caprese
127,salad,Waldorf
127,salad,Greek
128,bread,Baguette
128,bread,Rye
128,cheese,Camembert
128,salad,Caprese
128,salad,Caesar
129,bread,Rye
129,bread,Sourdough
129,bread,Focaccia
129,cheese,Parmesan
129,cheese,Camembert
129,salad,Greek
129,salad,Caprese
129,salad,Caesar
130,bread,Sourdough
130,cheese,Camembert
130,cheese,Parmesan
130,salad,Greek
130,salad,Caesar
131,bread,Rye
131,bread,Sourdough
131,bread,Baguette
131,cheese,Mozzarella
131,cheese,Gouda
131,salad,Caprese
132,bread,Rye
132,bread,Pumpernickel
132,cheese,Gouda
132,cheese,Cheddar
132,cheese,Mozzarella
132,salad,Caesar
132,salad,Caprese
132,salad,Greek
133,bread,Rye
133,bread,Focaccia
133,cheese,Camembert
133,cheese,Brie
133,salad,Wedge
133,salad,Caprese
134,bread,Rye
134,bread,Sourdough
134,bread,Baguette
134,cheese,Parmesan
134,cheese,Brie
134,cheese,Cheddar
134,salad,Greek
135,bread,Rye
135,bread,Baguette
135,bread,Sourdough
135,cheese,Mozzarella
135,cheese,Cheddar
135,salad,Caesar
136,bread,Sourdough
136,bread,Baguette
136,cheese,Brie
136,cheese,Camembert
136,salad,Caesar
136,salad,Greek
136,salad,Wedge
137,bread,Focaccia
137,bread,Sourdough
137,cheese,Camembert
137,cheese,Gouda
137,salad,Greek
137,salad,Wedge
137,salad,Caesar
138,bread,Rye
138,bread,Baguette
138,bread,Sourdough
138,cheese,Gouda
138,cheese,Camembert
138,salad,Caprese
138,salad,Caesar
138,salad,Cobb
139,bread,Baguette
139,bread,Sourdough
139,bread,Focaccia
139,cheese,Camembert
139,cheese,Gouda
139,salad,Waldorf
139,salad,Caprese
139,salad,Greek
140,bread,Focaccia
140,cheese,Gouda
140,cheese,Cheddar
140,salad,Greek
140,salad,Cobb
141,bread,Focaccia
141,bread,Sourdough
141,cheese,Camembert
141,cheese,Gouda
141,salad,Cobb
141,salad,Waldorf
141,salad,Greek
142,bread,Rye
142,cheese,Mozzarella
142,salad,Caesar
142,salad,Greek
143,bread,Pumpernickel
143,bread,Rye
143,bread,Sourdough
143,cheese,Cheddar
143,cheese,Gouda
143,salad,Waldorf
143,salad,Wedge
144,bread,Baguette
144,cheese,Mozzarella
144,cheese,Camembert
144,salad,Caprese
144,salad,Caesar
145,bread,Baguette
145,bread,Sourdough
145,cheese,Brie
145,cheese,Gouda
145,salad,Caprese
146,bread,Rye
146,bread,Focaccia
146,cheese,Mozzarella
146,cheese,Cheddar
146,salad,Caesar
146,salad,Wedge
147,bread,Rye
147,cheese,Cheddar
147,cheese,Camembert
147,cheese,Gouda
147,salad,Waldorf
147,salad,Caesar
147,salad,Caprese
148,bread,Baguette
148,bread,Rye
148,cheese,Camembert
148,salad,Caesar
149,bread,Pumpernickel
149,bread,Rye
149,bread,Baguette
149,cheese,Roquefort
149,cheese,Parmesan
149,cheese,Mozzarella
149,salad,Greek
149,salad,Caesar
150,bread,Sourdough
150,bread,Rye
150,bread,Focaccia
150,cheese,Cheddar
150,cheese,Camembert
150,cheese,Parmesan
150,salad,Greek
150,salad,Waldorf
150,salad,Caprese
151,bread,Baguette
151,bread,Pumpernickel
151,bread,Focaccia
151,cheese,Camembert
151,salad,Caesar
152,bread,Rye
152,bread,Baguette
152,bread,Focaccia
152,cheese,Gouda
152,cheese,Parmesan
152,cheese,Mozzarella
152,salad,Waldorf
152,salad,Caprese
152,salad,Wedge
153,bread,Baguette
153,bread,Sourdough
153,cheese,Camembert
153,cheese,Gouda
153,salad,Waldorf
153,salad,Greek
154,bread,Focaccia
154,cheese,Mozzarella
154,salad,Caesar
154,salad,Cobb
155,bread,Baguette
155,cheese,Parmesan
155,cheese,Camembert
155,salad,Caprese
155,salad,Cobb
155,salad,Greek
156,bread,Rye
156,bread,Sourdough
156,bread,Baguette
156,cheese,Brie
156,cheese,Parmesan
156,salad,Caprese
156,salad,Caesar
157,bread,Rye
157,bread,Baguette
157,cheese,Gouda
157,cheese,Camembert
157,cheese,Mozzarella
157,salad,Caprese
158,bread,Sourdough
158,bread,Baguette
158,cheese,Brie
158,cheese,Gouda
158,salad,Waldorf
159,bread,Rye
159,bread,Sourdough
159,bread,Baguette
159,cheese,Mozzarella
159,cheese,Roquefort
159,cheese,Gouda
159,salad,Caprese
159,salad,Cobb
160,bread,Baguette
160,bread,Rye
160,cheese,Mozzarella
160,cheese,Camembert
160,salad,Greek
160,salad,Caprese
161,bread,Focaccia
161,bread,Rye
161,cheese,Gouda
161,salad,Greek
161,salad,Caprese
162,bread,Focaccia
162,bread,Rye
162,bread,Baguette
162,cheese,Mozzarella
162,cheese,Cheddar
162,cheese,Gouda
162,salad,Caprese
162,salad,Wedge
163,bread,Baguette
163,bread,Rye
163,cheese,Gouda
163,cheese,Cheddar
163,salad,Wedge
163,salad,Caesar
163,salad,Waldorf
164,bread,Baguette
164,bread,Focaccia
164,cheese,Camembert
164,cheese,Cheddar
164,cheese,Gouda
164,salad,Waldorf
164,salad,Caesar
164,salad,Wedge
165,bread,Rye
165,cheese,Mozzarella
165,cheese,Camembert
165,cheese,Gouda
165,salad,Waldorf
166,bread,Rye
166,bread,Sourdough
166,cheese,Cheddar
166,cheese,Brie
166,salad,Caesar
166,salad,Wedge
167,bread,Sourdough
167,bread,Rye
167,cheese,Gouda
167,cheese,Parmesan
167,salad,Greek
168,bread,Baguette
168,bread,Focaccia
168,bread,Sourdough
168,cheese,Gouda
168,cheese,Camembert
168,cheese,Parmesan
168,salad,Greek
168,salad,Waldorf
169,bread,Rye
169,bread,Baguette
169,bread,Focaccia
169,cheese,Parmesan
169,salad,Caprese
169,salad,Caesar
170,bread,Rye
170,bread,Baguette
170,bread,Focaccia
170,cheese,Mozzarella
170,salad,Greek
170,salad,Caesar
171,bread,Baguette
171,bread,Sourdough
171,cheese,Brie
171,salad,Caprese
172,bread,Rye
172,bread,Baguette
172,bread,Pumpernickel
172,cheese,Brie
172,cheese,Camembert
172,salad,Caprese
172,salad,Greek
172,salad,Caesar
173,bread,Pumpernickel
173,cheese,Gouda
173,cheese,Mozzarella
173,salad,Caesar
173,salad,Wedge
174,bread,Focaccia
174,bread,Rye
174,cheese,Camembert
174,cheese,Cheddar
174,cheese,Brie
174,salad,Caprese
175,bread,Rye
175,bread,Pumpernickel
175,cheese,Cheddar
175,cheese,Camembert
175,salad,Greek
175,salad,Caesar
176,bread,Rye
176,bread,Sourdough
176,bread,Baguette
176,cheese,Parmesan
176,cheese,Brie
176,cheese,Gouda
176,salad,Greek
176,salad,Caesar
177,bread,Rye
177,bread,Baguette
177,cheese,Gouda
177,cheese,Camembert
177,salad,Caprese
177,salad,Greek
178,bread,Baguette
178,bread,Rye
178,bread,Sourdough
178,cheese,Roquefort
178,cheese,Brie
178,salad,Greek
178,salad,Waldorf
178,salad,Caprese
179,bread,Sourdough
179,bread,Focaccia
179,cheese,Gouda
179,cheese,Roquefort
179,salad,Caesar
179,salad,Caprese
180,bread,Rye
180,bread,Focaccia
180,bread,Baguette
180,cheese,Camembert
180,cheese,Cheddar
180,salad,Caesar
180,salad,Caprese
181,bread,Sourdough
181,bread,Rye
181,bread,Baguette
181,cheese,Gouda
181,salad,Caesar
182,bread,Baguette
182,bread,Focaccia
182,cheese,Parmesan
182,salad,Caesar
182,salad,Greek
183,bread,Baguette
183,cheese,Roquefort
183,cheese,Gouda
183,salad,Cobb
183,salad,Greek
184,bread,Sourdough
184,bread,Baguette
184,bread,Focaccia
184,cheese,Parmesan
184,cheese,Cheddar
184,salad,Greek
184,salad,Caesar
185,bread,Baguette
185,bread,Sourdough
185,bread,Focaccia
185,cheese,Cheddar
185,cheese,Parmesan
185,salad,Greek
185,salad,Waldorf
185,salad,Caprese
186,bread,Baguette
186,cheese,Gouda
186,cheese,Cheddar
186,cheese,Brie
186,salad,Greek
187,bread,Baguette
187,bread,Sourdough
187,bread,Focaccia
187,cheese,Gouda
187,cheese,Cheddar
187,cheese,Camembert
187,salad,Greek
187,salad,Waldorf
188,bread,Sourdough
188,bread,Rye
188,cheese,Gouda
188,cheese,Parmesan
188,salad,Wedge
188,salad,Caprese
188,salad,Greek
189,bread,Baguette
189,bread,Focaccia
189,cheese,Mozzarella
189,salad,Caprese
189,salad,Waldorf
189,salad,Greek
190,bread,Focaccia
190,bread,Rye
190,cheese,Cheddar
190,cheese,Brie
190,salad,Caprese
190,salad,Caesar
190,salad,Waldorf
191,bread,Baguette
191,cheese,Gouda
191,cheese,Brie
191,salad,Caesar
191,salad,Caprese
192,bread,Baguette
192,bread,Sourdough
192,bread,Focaccia
192,cheese,Gouda
192,cheese,Mozzarella
192,cheese,Cheddar
192,salad,Greek
193,bread,Baguette
193,bread,Rye
193,cheese,Parmesan
193,cheese,Gouda
193,salad,Caprese
193,salad,Greek
194,bread,Baguette
194,bread,Rye
194,cheese,Cheddar
194,cheese,Camembert
194,salad,Caesar
194,salad,Caprese
194,salad,Greek
195,bread,Sourdough
195,bread,Rye
195,cheese,Gouda
195,salad,Greek
195,salad,Caesar
196,bread,Rye
196,bread,Focaccia
196,bread,Sourdough
196,cheese,Mozzarella
196,cheese,Cheddar
196,salad,Caesar
196,salad,Greek
196,salad,Caprese
197,bread,Rye
197,bread,Sourdough
197,cheese,Cheddar
197,cheese,Camembert
197,salad,Greek
197,salad,Caesar
197,salad,Caprese
198,bread,Baguette
198,bread,Rye
198,bread,Focaccia
198,cheese,Mozzarella
198,cheese,Roquefort
198,cheese,Camembert
198,salad,Cobb
198,salad,Caprese
199,bread,Baguette
199,bread,Sourdough
199,bread,Rye
199,cheese,Gouda
199,cheese,Brie
199,salad,Caesar
199,salad,Caprese
200,bread,Sourdough
200,bread,Rye
200,cheese,Camembert
200,cheese,Cheddar
200,salad,Greek
200,salad,Caesar
201,bread,Sourdough
201,bread,Rye
201,cheese,Camembert
201,cheese,Cheddar
201,salad,Caprese
201,salad,Greek
202,bread,Sourdough
202,bread,Focaccia
202,bread,Rye
202,cheese,Mozzarella
202,salad,Caesar
202,salad,Caprese
203,bread,Rye
203,bread,Focaccia
203,cheese,Mozzarella
203,cheese,Parmesan
203,cheese,Cheddar
203,salad,Cobb
203,salad,Greek
203,salad,Caesar
204,bread,Baguette
204,bread,Rye
204,cheese,Roquefort
204,salad,Caprese
204,salad,Caesar
204,salad,Greek
205,bread,Baguette
205,bread,Rye
205,cheese,Camembert
205,cheese,Parmesan
205,cheese,Cheddar
205,salad,Caprese
206,bread,Baguette
206,cheese,Gouda
206,cheese,Cheddar
206,salad,Caesar
206,salad,Greek
207,bread,Sourdough
207,bread,Rye
207,cheese,Cheddar
207,salad,Waldorf
207,salad,Caprese
